item1,item2,value1,value2,value3,value4,value5,value6,value7
110年 1月,新竹縣,30.3,12.4,28.5,1.62,0.32,10.21,51.04
110年 1月,宜蘭縣,25.5,9.7,24,1.89,0.27,6.64,43.54
110年 1月,高雄市,112.6,33.9,63.2,2.88,0.46,19.24,61.46
110年 1月,臺南市,86.8,33.1,58.6,2.32,0.41,14.89,57.33
110年 1月,臺中市,44.3,21.4,39.6,2.03,0.42,15.46,49.74
110年 1月,桃園市,55,14.8,31.3,2.47,0.38,14.82,45.77
110年 1月,臺北市,24.4,9.8,26,1.88,0.42,16.85,42.16
110年 1月,新北市,35.6,11.7,28.9,1.74,0.38,13.49,45.35
110年 1月,總計,51.5,20,41.3,2.19,0.39,13.77,51.12
110年,連江縣,    ...,16.6,30.3,2.06,0.21,5.9,58.23
110年,金門縣,54,17.8,38,2.32,0.23,8.05,57.53
110年,嘉義市,50.1,20.8,40.4,2.32,0.3,11.31,54.93
110年,新竹市,37.6,13.9,26.8,1.62,0.3,11.79,51.9
110年,基隆市,44.6,11,22.9,1.47,0.26,8.58,48.58
110年,澎湖縣,    ...,11.7,26.6,1.27,0.18,3.09,51.24
110年,花蓮縣,18.8,8.1,18.2,1,0.21,4.95,42.03
110年,臺東縣,26.9,6.7,18.4,1.26,0.22,3.97,39.05
110年,屏東縣,60,13,30.9,1.46,0.24,6.67,57.51
110年,嘉義縣,45.8,17.8,41.3,1.9,0.26,7.95,52.72
110年,雲林縣,48.3,21.4,42,2.24,0.27,8.82,56.93
110年,南投縣,29.5,17.7,34.8,2.01,0.28,10.52,62.05
110年,彰化縣,52.7,16.8,39.2,2.92,0.27,10.54,50.1
110年,苗栗縣,34.6,13.9,25.8,2,0.24,8.72,47.89
110年,新竹縣,35.1,12.4,24.6,1.42,0.23,8.08,53.99
110年,宜蘭縣,27.6,9.2,20.8,1.41,0.22,5.33,42.88
110年,高雄市,52.7,18.5,41.1,2.42,0.31,12.86,58.43
110年,臺南市,68,18.6,40.1,1.88,0.27,10.28,56.06
110年,臺中市,48.7,15.4,31.8,1.94,0.3,11.94,53.28
110年,桃園市,43.3,14.3,26,2.14,0.29,12.2,51.12
110年,臺北市,24.5,10.5,23.8,1.57,0.35,14.59,50.59
110年,新北市,38.4,12.4,24.7,1.67,0.3,11.65,51.78
110年,總計,42.9,14.4,31.1,1.89,0.28,10.46,53.18
109年 12月,連江縣,    ...,21.3,35.2,2.79,0.32,6.99,50.17
109年 12月,金門縣,80,17.9,39.3,2.64,0.35,10.67,50.57
109年 12月,嘉義市,71,24.7,42.8,2.73,0.42,17.69,48.22
109年 12月,新竹市,23.8,9.6,19.9,2.05,0.33,10.78,41.7
109年 12月,基隆市,44.1,6.8,17.6,1.52,0.27,7.1,44.24
109年 12月,澎湖縣,86,12.2,30.4,1.08,0.25,2.78,47.96
109年 12月,花蓮縣,20.5,4.8,14.5,1.24,0.3,6.79,44.09
109年 12月,臺東縣,17,4.4,14.1,1.02,0.32,4.66,42.42
109年 12月,屏東縣,77.4,16.6,39.2,1.75,0.33,9.77,60.05
109年 12月,嘉義縣,40.1,19.6,44.8,2.55,0.34,9.7,47.27
109年 12月,雲林縣,52.7,23.2,42.1,2.38,0.36,10.8,48.41
109年 12月,南投縣,27.9,16.1,30.6,1.92,0.43,15.61,51.78
